250.0		2.3505		0.2113379
260.0		2.3552		0.1801257
270.0		2.3513		0.1544102
280.0		2.3414		0.1331719
290.0		2.3274		0.1156021
300.0		2.3105		0.1010547
310.0		2.2918		0.08900975
320.0		2.272 		0.07904635
330.0		2.2516		0.07082141
340.0		2.231 		0.06405398
350.0		2.2106		0.05851254
360.0		2.1904		0.05400554
370.0		2.1708		0.05037373
380.0		2.1516		0.04748415
390.0		2.1331		0.04522533
400.0		2.1152		0.04350352
410.0		2.098 		0.04223955
420.0		2.0815		0.04136638
430.0		2.0657		0.04082706
440.0		2.0505		0.04057307
450.0		2.036 		0.04056298
460.0		2.0221		0.0407613
470.0		2.0088		0.04113761
480.0		1.9961		0.04166571
490.0		1.9839		0.04232306
500.0		1.9723		0.04309022
510.0		1.9613		0.04395034
520.0		1.9507		0.04488888
530.0		1.9405		0.04589323
540.0		1.9308		0.04695242
550.0		1.9216		0.04805696
560.0		1.9127		0.04919859
570.0		1.9042		0.05037013
580.0		1.8961		0.05156533
590.0		1.8883		0.05277875
600.0		1.8808		0.05400567
610.0		1.8737		0.05524196
620.0		1.8668		0.05648406
630.0		1.8602		0.05772886
640.0		1.8539		0.05897364
650.0		1.8478		0.06021609
660.0		1.842 		0.06145417
670.0		1.8364		0.06268614
680.0		1.831 		0.06391049
690.0		1.8259		0.06512594
700.0		1.8209		0.06633137
710.0		1.8161		0.06752584
720.0		1.8115		0.06870857
730.0		1.807 		0.06987888
740.0		1.8028		0.07103622
750.0		1.7986		0.07218014
760.0		1.7946		0.07331026
770.0		1.7908		0.07442628
780.0		1.7871		0.07552799
790.0		1.7835		0.07661521
800.0		1.7801		0.07768784
810.0		1.7767		0.0787458
820.0		1.7735		0.07978907
830.0		1.7704		0.08081765
840.0		1.7674		0.08183157
850.0		1.7645		0.0828309
